plot,species,year,flow_numb,seed_per_flow,seed_numb,recruits_y2
3,ELSC,2016,26,11.04635449,287.2052167,0
4,ELSC,2016,5,11.04635449,55.23177245,2
5,ELSC,2016,200,11.04635449,2209.270898,2
3,ELSC,2017,3,11.04635449,33.13906347,0
4,ELSC,2017,10,11.04635449,110.4635449,0
5,ELSC,2017,13,11.04635449,143.6026084,0
3,ELSC,2015,43,11.04635449,474.993243,1
4,ELSC,2015,32,11.04635449,353.4833437,1
5,ELSC,2015,136,11.04635449,1502.304211,0
3,ELSC,2018,17,11.04635449,187.7880263,NA
4,ELSC,2018,19,11.04635449,209.8807353,NA
5,ELSC,2018,16,11.04635449,176.7416718,NA
1,FEBR,2015,7,9.835847763,68.85093434,0
2,FEBR,2015,10,9.835847763,98.35847763,0
3,FEBR,2015,156,9.835847763,1534.392251,1
4,FEBR,2015,199,9.835847763,1957.333705,1
1,FEBR,2016,10,9.835847763,98.35847763,0
2,FEBR,2016,11,9.835847763,108.1943254,0
3,FEBR,2016,225,9.835847763,2213.065747,3
4,FEBR,2016,137,9.835847763,1347.511144,0
1,FEBR,2017,14,9.835847763,137.7018687,0
2,FEBR,2017,12,9.835847763,118.0301732,0
3,FEBR,2017,91,9.835847763,895.0621465,0
4,FEBR,2017,74,9.835847763,727.8527345,1
1,FEBR,2018,12,9.835847763,118.0301732,NA
2,FEBR,2018,12,9.835847763,118.0301732,NA
3,FEBR,2018,122,9.835847763,1199.973427,NA
4,FEBR,2018,144,9.835847763,1416.362078,NA
1,POAL,2015,63,26.29880952,1656.825,8
2,POAL,2015,67,26.29880952,1762.020238,2
1,POAL,2016,137,26.29880952,3602.936905,8
2,POAL,2016,105,26.29880952,2761.375,0
1,POAL,2017,16,26.29880952,420.7809524,4
2,POAL,2017,18,26.29880952,473.3785714,3
1,POAL,2018,45,26.29880952,1183.446428,NA
2,POAL,2018,43,26.29880952,1130.848809,NA
