"","species","fact","site","post"
"1","Elymus scribneri","above","core",0.438330025640384
"2","Elymus scribneri","above","limit",0.567618251221395
"3","Elymus scribneri","above","novel",0.728925494903751
"4","Elymus scribneri","below","core",0.430506120344828
"5","Elymus scribneri","below","limit",0.469661365634524
"6","Elymus scribneri","below","novel",0.587894060418324
"7","Elymus scribneri","both","core",0.489695286717477
"8","Elymus scribneri","both","limit",0.656095615306424
"9","Elymus scribneri","both","novel",0.599825440253063
"10","Elymus scribneri","control","core",0.401384361735381
"11","Elymus scribneri","control","limit",0.392650400690063
"12","Elymus scribneri","control","novel",0.475826242710066
"13","Festuca brachyphylla","above","core",0.857406628536917
"14","Festuca brachyphylla","above","limit",0.482101587327079
"15","Festuca brachyphylla","above","novel",0.738430211753416
"16","Festuca brachyphylla","below","core",0.912049685920698
"17","Festuca brachyphylla","below","limit",0.655058851373863
"18","Festuca brachyphylla","below","novel",1.09340833128157
"19","Festuca brachyphylla","both","core",0.941465451791455
"20","Festuca brachyphylla","both","limit",0.495966900338811
"21","Festuca brachyphylla","both","novel",1.13914689210871
"22","Festuca brachyphylla","control","core",0.841802613138129
"23","Festuca brachyphylla","control","limit",0.39054278420328
"24","Festuca brachyphylla","control","novel",0.875594022569947
"25","Poa alpina","above","core",1.59632497380976
"26","Poa alpina","above","limit",1.52880738655963
"27","Poa alpina","above","novel",1.98589136297756
"28","Poa alpina","below","core",1.4446125241785
"29","Poa alpina","below","limit",1.43401833233743
"30","Poa alpina","below","novel",2.31875638519434
"31","Poa alpina","both","core",1.52538608769563
"32","Poa alpina","both","limit",1.75119285552788
"33","Poa alpina","both","novel",2.21238522751069
"34","Poa alpina","control","core",1.25039777441559
"35","Poa alpina","control","limit",1.17019670390584
"36","Poa alpina","control","novel",1.54575175012989
