"","species","fact","site","post"
"1","Elymus scribneri","above","core",7.56259831990291
"2","Elymus scribneri","above","limit",3.45925297690531
"3","Elymus scribneri","above","novel",8.77342539805191
"4","Elymus scribneri","below","core",7.45530680794539
"5","Elymus scribneri","below","limit",4.74190896153266
"6","Elymus scribneri","below","novel",9.58450660436172
"7","Elymus scribneri","both","core",6.21798369484773
"8","Elymus scribneri","both","limit",6.49528317180992
"9","Elymus scribneri","both","novel",14.0336614857778
"10","Elymus scribneri","control","core",5.79077108037722
"11","Elymus scribneri","control","limit",5.14167135744421
"12","Elymus scribneri","control","novel",7.86903539820452
"13","Festuca brachyphylla","above","core",61.2951484295062
"14","Festuca brachyphylla","above","limit",19.770011652152
"15","Festuca brachyphylla","above","novel",37.498235902427
"16","Festuca brachyphylla","below","core",82.4522543339509
"17","Festuca brachyphylla","below","limit",22.2176892075768
"18","Festuca brachyphylla","below","novel",37.4411251394338
"19","Festuca brachyphylla","both","core",52.0070300583122
"20","Festuca brachyphylla","both","limit",23.3915479383472
"21","Festuca brachyphylla","both","novel",40.2612521526717
"22","Festuca brachyphylla","control","core",69.8640331787296
"23","Festuca brachyphylla","control","limit",18.0216758586964
"24","Festuca brachyphylla","control","novel",25.7577270403819
"25","Poa alpina","above","core",25.6263595829552
"26","Poa alpina","above","limit",16.4739893190779
"27","Poa alpina","above","novel",23.3616206641063
"28","Poa alpina","below","core",23.1712684269065
"29","Poa alpina","below","limit",15.9498091409725
"30","Poa alpina","below","novel",31.2157117642513
"31","Poa alpina","both","core",21.177894553632
"32","Poa alpina","both","limit",18.6056401497364
"33","Poa alpina","both","novel",30.8970496687938
"34","Poa alpina","control","core",19.599769395041
"35","Poa alpina","control","limit",14.3243905458372
"36","Poa alpina","control","novel",20.5715202114209
