"","species","fact","site","post"
"1","Elymus scribneri","above","core",0.945882639142121
"2","Elymus scribneri","above","limit",0.878805478700878
"3","Elymus scribneri","above","novel",0.53176102302669
"4","Elymus scribneri","below","core",0.808693886593644
"5","Elymus scribneri","below","limit",0.465618355720604
"6","Elymus scribneri","below","novel",0.672862291697234
"7","Elymus scribneri","both","core",0.811100578562771
"8","Elymus scribneri","both","limit",0.810392741533525
"9","Elymus scribneri","both","novel",0.535124094684285
"10","Elymus scribneri","control","core",0.740444673665382
"11","Elymus scribneri","control","limit",0.53513478835508
"12","Elymus scribneri","control","novel",0.808082603765531
"13","Festuca brachyphylla","above","core",0.877512587440444
"14","Festuca brachyphylla","above","limit",0.534458797980212
"15","Festuca brachyphylla","above","novel",0.67271318213256
"16","Festuca brachyphylla","below","core",0.671725572646431
"17","Festuca brachyphylla","below","limit",0.672658754249836
"18","Festuca brachyphylla","below","novel",0.740634511697786
"19","Festuca brachyphylla","both","core",0.878743176514842
"20","Festuca brachyphylla","both","limit",0.738422306551062
"21","Festuca brachyphylla","both","novel",0.740034366380716
"22","Festuca brachyphylla","control","core",0.670291859460999
"23","Festuca brachyphylla","control","limit",0.673346184306123
"24","Festuca brachyphylla","control","novel",0.671283488869783
"25","Poa alpina","above","core",0.945718131159032
"26","Poa alpina","above","limit",0.878613991542908
"27","Poa alpina","above","novel",0.810687702959234
"28","Poa alpina","below","core",0.671814499194387
"29","Poa alpina","below","limit",0.60175983561199
"30","Poa alpina","below","novel",0.80995917063831
"31","Poa alpina","both","core",0.809022004792815
"32","Poa alpina","both","limit",0.999999999999955
"33","Poa alpina","both","novel",0.877677315233105
"34","Poa alpina","control","core",0.741178642888288
"35","Poa alpina","control","limit",0.671598909479388
"36","Poa alpina","control","novel",0.878046104313825
